"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jun 25 21:17:16 GMT 2023","Sun Jun 25 21:17:27 GMT 2023","11259","","Раздел профиль","","","","Test 1:Проверка, что если в разделе 'Редактирование профиля' оставить все поля пустыми и нажать сохранить,высветятся валидационные ошибки",""
"passed","Sun Jun 25 21:17:41 GMT 2023","Sun Jun 25 21:17:42 GMT 2023","1280","","Страница авторизации пользователя","","","","Test 8:Авторизация на сайте при в вводе в поле “Введите пароль” пароль состоящий из цифр",""
"passed","Sun Jun 25 21:17:33 GMT 2023","Sun Jun 25 21:17:34 GMT 2023","1048","","Страница авторизации пользователя","","","","Test 2:Авторизация на сайте при вводе валидных данных",""
"passed","Sun Jun 25 21:17:39 GMT 2023","Sun Jun 25 21:17:40 GMT 2023","1074","","Страница авторизации пользователя","","","","Test 6:Авторизация на сайте не заполняя поле “Введите пароль”",""
"passed","Sun Jun 25 21:17:35 GMT 2023","Sun Jun 25 21:17:36 GMT 2023","615","","Страница авторизации пользователя","","","","Test 4:Авторизация на сайте не заполняя поля формы",""
"passed","Sun Jun 25 21:17:43 GMT 2023","Sun Jun 25 21:17:44 GMT 2023","497","","Страница авторизации пользователя","","","","Test 10:Переход с страницы “Авторизация” на страницу “Зарегистироваться”",""
"passed","Sun Jun 25 21:17:29 GMT 2023","Sun Jun 25 21:17:33 GMT 2023","3662","","Страница авторизации пользователя","","","","Test 1:Проверка, что форма авторизации пользователя существует и является видимой на странице",""
"failed","Sun Jun 25 19:16:49 GMT 2023","Sun Jun 25 19:16:55 GMT 2023","5622","","Страница авторизации пользователя","","","","Test 1:Проверка, что при изменении данных в поле 'Фамилия имя' в разделе 'Редактирование профиля' изменения успешно сохраняются и верно отображаются",""
"passed","Sun Jun 25 21:17:34 GMT 2023","Sun Jun 25 21:17:35 GMT 2023","1678","","Страница авторизации пользователя","","","","Test 3:Авторизация на сайте при вводе невалидных данных",""
"passed","Sun Jun 25 21:17:36 GMT 2023","Sun Jun 25 21:17:39 GMT 2023","2616","","Страница авторизации пользователя","","","","Test 5:Авторизация на сайте не заполняя поле “Номер телефона”",""
"passed","Sun Jun 25 21:17:44 GMT 2023","Sun Jun 25 21:17:44 GMT 2023","514","","Страница авторизации пользователя","","","","Test 11:Переход с страницы “Авторизация” на страницу “Забыли пароль”",""
"passed","Sun Jun 25 21:17:42 GMT 2023","Sun Jun 25 21:17:43 GMT 2023","740","","Страница авторизации пользователя","","","","Test 9:При вводе в поле “Введите пароль” пароль скрыт точками, при нажатии на иконку “закрытого глаза”, пароль видимый",""
"passed","Sun Jun 25 21:17:40 GMT 2023","Sun Jun 25 21:17:41 GMT 2023","1275","","Страница авторизации пользователя","","","","Test 7:Авторизация на сайте с некорректым номером телефона",""
