"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 25 21:27:51 GMT 2023","Sun Jun 25 21:28:05 GMT 2023","13107","","Раздел профиль","","","","Test 1:Проверка, что если в разделе 'Редактирование профиля' оставить все поля пустыми и нажать сохранить,высветятся валидационные ошибки",""
"passed","Sun Jun 25 21:28:19 GMT 2023","Sun Jun 25 21:28:20 GMT 2023","697","","Страница авторизации пользователя","","","","Test 9:При вводе в поле “Введите пароль” пароль скрыт точками, при нажатии на иконку “закрытого глаза”, пароль видимый",""
"passed","Sun Jun 25 21:28:20 GMT 2023","Sun Jun 25 21:28:20 GMT 2023","410","","Страница авторизации пользователя","","","","Test 10:Переход с страницы “Авторизация” на страницу “Зарегистироваться”",""
"passed","Sun Jun 25 21:28:07 GMT 2023","Sun Jun 25 21:28:09 GMT 2023","2291","","Страница авторизации пользователя","","","","Test 1:Проверка, что форма авторизации пользователя существуетт и является видимой на странице",""
"passed","Sun Jun 25 20:49:07 GMT 2023","Sun Jun 25 20:49:08 GMT 2023","790","","Страница авторизации пользователя","","","","Test 1:Проверка, что форма авторизации пользователя существует и является видимой на странице",""
"failed","Sun Jun 25 19:16:49 GMT 2023","Sun Jun 25 19:16:55 GMT 2023","5622","","Страница авторизации пользователя","","","","Test 1:Проверка, что при изменении данных в поле 'Фамилия имя' в разделе 'Редактирование профиля' изменения успешно сохраняются и верно отображаются",""
"passed","Sun Jun 25 21:28:18 GMT 2023","Sun Jun 25 21:28:19 GMT 2023","1051","","Страница авторизации пользователя","","","","Test 8:Авторизация на сайте при в вводе в поле “Введите пароль” пароль состоящий из цифр",""
"passed","Sun Jun 25 21:28:20 GMT 2023","Sun Jun 25 21:28:21 GMT 2023","688","","Страница авторизации пользователя","","","","Test 11:Переход с страницы “Авторизация” на страницу “Забыли пароль”",""
"passed","Sun Jun 25 21:28:09 GMT 2023","Sun Jun 25 21:28:10 GMT 2023","1230","","Страница авторизации пользователя","","","","Test 2:Авторизация на сайте при вводе валидных данных",""
"passed","Sun Jun 25 21:28:17 GMT 2023","Sun Jun 25 21:28:18 GMT 2023","1247","","Страница авторизации пользователя","","","","Test 7:Авторизация на сайте с некорректым номером телефона",""
"passed","Sun Jun 25 21:28:12 GMT 2023","Sun Jun 25 21:28:13 GMT 2023","540","","Страница авторизации пользователя","","","","Test 4:Авторизация на сайте не заполняя поля формы",""
"passed","Sun Jun 25 21:28:10 GMT 2023","Sun Jun 25 21:28:12 GMT 2023","1681","","Страница авторизации пользователя","","","","Test 3:Авторизация на сайте при вводе невалидных данных",""
"passed","Sun Jun 25 21:28:14 GMT 2023","Sun Jun 25 21:28:16 GMT 2023","2978","","Страница авторизации пользователя","","","","Test 6:Авторизация на сайте не заполняя поле “Введите пароль”",""
"passed","Sun Jun 25 21:28:13 GMT 2023","Sun Jun 25 21:28:14 GMT 2023","808","","Страница авторизации пользователя","","","","Test 5:Авторизация на сайте не заполняя поле “Номер телефона”",""
