"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 24 20:58:07 GMT 2023","Sat Jun 24 20:58:08 GMT 2023","1164","","Страница авторизации пользователя","","","","Test 6:Авторизация на сайте не заполняя поле “Введите пароль”",""
"passed","Sat Jun 24 20:58:12 GMT 2023","Sat Jun 24 20:58:12 GMT 2023","493","","Страница авторизации пользователя","","","","Test 10:Переход с страницы “Авторизация” на страницу “Зарегистироваться”",""
"passed","Sat Jun 24 20:58:03 GMT 2023","Sat Jun 24 20:58:04 GMT 2023","680","","Страница авторизации пользователя","","","","Test 4:Авторизация на сайте не заполняя поля формы",""
"passed","Sat Jun 24 20:58:01 GMT 2023","Sat Jun 24 20:58:03 GMT 2023","1840","","Страница авторизации пользователя","","","","Test 3:Авторизация на сайте при вводе невалидных данных",""
"passed","Sat Jun 24 20:58:10 GMT 2023","Sat Jun 24 20:58:11 GMT 2023","1270","","Страница авторизации пользователя","","","","Test 8:Авторизация на сайте при в вводе в поле “Введите пароль” пароль состоящий из цифр",""
"passed","Sat Jun 24 20:58:12 GMT 2023","Sat Jun 24 20:58:13 GMT 2023","568","","Страница авторизации пользователя","","","","Test 11:Переход с страницы “Авторизация” на страницу “Забыли пароль”",""
"passed","Sat Jun 24 20:58:04 GMT 2023","Sat Jun 24 20:58:07 GMT 2023","3494","","Страница авторизации пользователя","","","","Test 5:Авторизация на сайте не заполняя поле “Номер телефона”",""
"passed","Sat Jun 24 20:58:00 GMT 2023","Sat Jun 24 20:58:01 GMT 2023","1409","","Страница авторизации пользователя","","","","Test 2:Авторизация на сайте при вводе валидных данных",""
"passed","Sat Jun 24 20:58:08 GMT 2023","Sat Jun 24 20:58:10 GMT 2023","1166","","Страница авторизации пользователя","","","","Test 7:Авторизация на сайте с некорректым номером телефона",""
"passed","Sat Jun 24 20:58:11 GMT 2023","Sat Jun 24 20:58:12 GMT 2023","955","","Страница авторизации пользователя","","","","Test 9:При вводе в поле “Введите пароль” пароль скрыт точками, при нажатии на иконку “закрытого глаза”, пароль видимый",""
"passed","Sat Jun 24 20:57:55 GMT 2023","Sat Jun 24 20:58:00 GMT 2023","4931","","Страница авторизации пользователя","","","","Test 1:Проверка, что форма авторизации пользователя существует и является видимой на странице",""
