"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 24 20:47:19 GMT 2023","Sat Jun 24 20:47:20 GMT 2023","1081","","Страница авторизации пользователя","","","","Test 6:Авторизация на сайте не заполняя поле “Введите пароль”",""
"passed","Sat Jun 24 20:47:23 GMT 2023","Sat Jun 24 20:47:28 GMT 2023","4690","","Страница авторизации пользователя","","","","Test 11:Переход с страницы “Авторизация” на страницу “Забыли пароль”",""
"passed","Sat Jun 24 20:47:11 GMT 2023","Sat Jun 24 20:47:13 GMT 2023","1948","","Страница авторизации пользователя","","","","Test 3:Авторизация на сайте при вводе невалидных данных",""
"passed","Sat Jun 24 20:47:20 GMT 2023","Sat Jun 24 20:47:21 GMT 2023","1101","","Страница авторизации пользователя","","","","Test 7:Авторизация на сайте с некорректым номером телефона",""
"passed","Sat Jun 24 20:47:14 GMT 2023","Sat Jun 24 20:47:19 GMT 2023","4977","","Страница авторизации пользователя","","","","Test 5:Авторизация на сайте не заполняя поле “Номер телефона”",""
"passed","Sat Jun 24 20:47:21 GMT 2023","Sat Jun 24 20:47:22 GMT 2023","1085","","Страница авторизации пользователя","","","","Test 8:Авторизация на сайте при в вводе в поле “Введите пароль” пароль состоящий из цифр",""
"passed","Sat Jun 24 20:47:23 GMT 2023","Sat Jun 24 20:47:23 GMT 2023","498","","Страница авторизации пользователя","","","","Test 10:Переход с страницы “Авторизация” на страницу “Зарегистироваться”",""
"passed","Sat Jun 24 20:47:06 GMT 2023","Sat Jun 24 20:47:10 GMT 2023","4085","","Страница авторизации пользователя","","","","Test 1:Проверка, что форма авторизации пользователя существует и является видимой на странице",""
"passed","Sat Jun 24 20:47:10 GMT 2023","Sat Jun 24 20:47:11 GMT 2023","1298","","Страница авторизации пользователя","","","","Test 2:Авторизация на сайте при вводе валидных данных",""
"passed","Sat Jun 24 20:47:22 GMT 2023","Sat Jun 24 20:47:23 GMT 2023","960","","Страница авторизации пользователя","","","","Test 9:При вводе в поле “Введите пароль” пароль скрыт точками, при нажатии на иконку “закрытого глаза”, пароль видимый",""
"passed","Sat Jun 24 20:47:13 GMT 2023","Sat Jun 24 20:47:14 GMT 2023","688","","Страница авторизации пользователя","","","","Test 4:Авторизация на сайте не заполняя поля формы",""
