"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 25 20:13:48 GMT 2023","Sun Jun 25 20:13:49 GMT 2023","938","","Страница авторизации пользователя","","","","Test 6:Авторизация на сайте не заполняя поле “Введите пароль”",""
"passed","Sun Jun 25 20:13:51 GMT 2023","Sun Jun 25 20:13:52 GMT 2023","1050","","Страница авторизации пользователя","","","","Test 9:При вводе в поле “Введите пароль” пароль скрыт точками, при нажатии на иконку “закрытого глаза”, пароль видимый",""
"failed","Sun Jun 25 20:13:22 GMT 2023","Sun Jun 25 20:13:35 GMT 2023","13202","","Страница авторизации пользователя","","","","Test 1:Проверка, что если в разделе 'Редактирование профиля' оставить все поля пустыми и нажать сохранить то высветятся валидационные ошибки",""
"passed","Sun Jun 25 20:13:49 GMT 2023","Sun Jun 25 20:13:50 GMT 2023","1344","","Страница авторизации пользователя","","","","Test 7:Авторизация на сайте с некорректым номером телефона",""
"passed","Sun Jun 25 20:13:53 GMT 2023","Sun Jun 25 20:13:54 GMT 2023","856","","Страница авторизации пользователя","","","","Test 11:Переход с страницы “Авторизация” на страницу “Забыли пароль”",""
"passed","Sun Jun 25 20:13:41 GMT 2023","Sun Jun 25 20:13:42 GMT 2023","1175","","Страница авторизации пользователя","","","","Test 2:Авторизация на сайте при вводе валидных данных",""
"passed","Sun Jun 25 20:13:52 GMT 2023","Sun Jun 25 20:13:53 GMT 2023","531","","Страница авторизации пользователя","","","","Test 10:Переход с страницы “Авторизация” на страницу “Зарегистироваться”",""
"passed","Sun Jun 25 20:13:44 GMT 2023","Sun Jun 25 20:13:48 GMT 2023","3482","","Страница авторизации пользователя","","","","Test 5:Авторизация на сайте не заполняя поле “Номер телефона”",""
"passed","Sun Jun 25 20:13:50 GMT 2023","Sun Jun 25 20:13:51 GMT 2023","1131","","Страница авторизации пользователя","","","","Test 8:Авторизация на сайте при в вводе в поле “Введите пароль” пароль состоящий из цифр",""
"passed","Sun Jun 25 20:13:43 GMT 2023","Sun Jun 25 20:13:44 GMT 2023","667","","Страница авторизации пользователя","","","","Test 4:Авторизация на сайте не заполняя поля формы",""
"passed","Sun Jun 25 20:13:42 GMT 2023","Sun Jun 25 20:13:43 GMT 2023","1754","","Страница авторизации пользователя","","","","Test 3:Авторизация на сайте при вводе невалидных данных",""
"passed","Sun Jun 25 20:13:37 GMT 2023","Sun Jun 25 20:13:40 GMT 2023","3419","","Страница авторизации пользователя","","","","Test 1:Проверка, что форма авторизации пользователя существует и является видимой на странице",""
"failed","Sun Jun 25 19:16:49 GMT 2023","Sun Jun 25 19:16:55 GMT 2023","5622","","Страница авторизации пользователя","","","","Test 1:Проверка, что при изменении данных в поле 'Фамилия имя' в разделе 'Редактирование профиля' изменения успешно сохраняются и верно отображаются",""
