"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jun 25 19:16:49 GMT 2023","Sun Jun 25 19:16:55 GMT 2023","5622","","Страница авторизации пользователя","","","","Test 1:Проверка, что при изменении данных в поле 'Фамилия имя' в разделе 'Редактирование профиля' изменения успешно сохраняются и верно отображаются",""
"passed","Wed Jun 28 16:56:37 GMT 2023","Wed Jun 28 16:56:38 GMT 2023","963","","Страница авторизации пользователя","","","","Test 9:При вводе в поле “Введите пароль” пароль скрыт точками, при нажатии на иконку “закрытого глаза”, пароль видимый",""
"passed","Wed Jun 28 16:56:33 GMT 2023","Wed Jun 28 16:56:34 GMT 2023","898","","Страница авторизации пользователя","","","","Test 6:Авторизация на сайте не заполняя поле “Введите пароль”",""
"passed","Wed Jun 28 16:56:38 GMT 2023","Wed Jun 28 16:56:38 GMT 2023","472","","Страница авторизации пользователя","","","","Test 10:Переход с страницы “Авторизация” на страницу “Зарегистироваться”",""
"passed","Wed Jun 28 16:56:28 GMT 2023","Wed Jun 28 16:56:33 GMT 2023","4564","","Страница авторизации пользователя","","","","Test 5:Авторизация на сайте не заполняя поле “Номер телефона”",""
"passed","Wed Jun 28 16:56:19 GMT 2023","Wed Jun 28 16:56:24 GMT 2023","5063","","Страница авторизации пользователя","","","","Test 1:Проверка, что форма авторизации пользователя существуетт и является видимой на странице",""
"passed","Wed Jun 28 16:56:38 GMT 2023","Wed Jun 28 16:56:41 GMT 2023","2780","","Страница авторизации пользователя","","","","Test 11:Переход с страницы “Авторизация” на страницу “Забыли пароль”",""
"passed","Sun Jun 25 20:49:07 GMT 2023","Sun Jun 25 20:49:08 GMT 2023","790","","Страница авторизации пользователя","","","","Test 1:Проверка, что форма авторизации пользователя существует и является видимой на странице",""
"passed","Wed Jun 28 16:56:34 GMT 2023","Wed Jun 28 16:56:35 GMT 2023","1404","","Страница авторизации пользователя","","","","Test 7:Авторизация на сайте с некорректым номером телефона",""
"failed","Wed Jun 28 16:56:04 GMT 2023","Wed Jun 28 16:56:17 GMT 2023","12895","","Раздел профиль","","","","Test 1:Проверка, что если в разделе 'Редактирование профиля' оставить все поля пустыми и нажать сохранить,высветятся валидационные ошибки",""
"passed","Wed Jun 28 16:56:24 GMT 2023","Wed Jun 28 16:56:26 GMT 2023","1177","","Страница авторизации пользователя","","","","Test 2:Авторизация на сайте при вводе валидных данных",""
"passed","Wed Jun 28 16:56:26 GMT 2023","Wed Jun 28 16:56:28 GMT 2023","2024","","Страница авторизации пользователя","","","","Test 3:Авторизация на сайте при вводе невалидных данных",""
"passed","Wed Jun 28 16:56:35 GMT 2023","Wed Jun 28 16:56:37 GMT 2023","1299","","Страница авторизации пользователя","","","","Test 8:Авторизация на сайте при в вводе в поле “Введите пароль” пароль состоящий из цифр",""
"passed","Wed Jun 28 16:56:28 GMT 2023","Wed Jun 28 16:56:28 GMT 2023","734","","Страница авторизации пользователя","","","","Test 4:Авторизация на сайте не заполняя поля формы",""
