"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 24 20:52:23 GMT 2023","Sat Jun 24 20:52:25 GMT 2023","1642","","Страница авторизации пользователя","","","","Test 3:Авторизация на сайте при вводе невалидных данных",""
"passed","Sat Jun 24 20:52:31 GMT 2023","Sat Jun 24 20:52:32 GMT 2023","1335","","Страница авторизации пользователя","","","","Test 8:Авторизация на сайте при в вводе в поле “Введите пароль” пароль состоящий из цифр",""
"passed","Sat Jun 24 20:52:33 GMT 2023","Sat Jun 24 20:52:34 GMT 2023","802","","Страница авторизации пользователя","","","","Test 11:Переход с страницы “Авторизация” на страницу “Забыли пароль”",""
"passed","Sat Jun 24 20:52:29 GMT 2023","Sat Jun 24 20:52:31 GMT 2023","1377","","Страница авторизации пользователя","","","","Test 7:Авторизация на сайте с некорректым номером телефона",""
"passed","Sat Jun 24 20:52:19 GMT 2023","Sat Jun 24 20:52:22 GMT 2023","3007","","Страница авторизации пользователя","","","","Test 1:Проверка, что форма авторизации пользователя существует и является видимой на странице",""
"passed","Sat Jun 24 20:52:33 GMT 2023","Sat Jun 24 20:52:33 GMT 2023","523","","Страница авторизации пользователя","","","","Test 10:Переход с страницы “Авторизация” на страницу “Зарегистироваться”",""
"passed","Sat Jun 24 20:52:27 GMT 2023","Sat Jun 24 20:52:29 GMT 2023","2709","","Страница авторизации пользователя","","","","Test 6:Авторизация на сайте не заполняя поле “Введите пароль”",""
"passed","Sat Jun 24 20:52:25 GMT 2023","Sat Jun 24 20:52:27 GMT 2023","1193","","Страница авторизации пользователя","","","","Test 5:Авторизация на сайте не заполняя поле “Номер телефона”",""
"passed","Sat Jun 24 20:52:22 GMT 2023","Sat Jun 24 20:52:23 GMT 2023","1283","","Страница авторизации пользователя","","","","Test 2:Авторизация на сайте при вводе валидных данных",""
"passed","Sat Jun 24 20:52:32 GMT 2023","Sat Jun 24 20:52:33 GMT 2023","748","","Страница авторизации пользователя","","","","Test 9:При вводе в поле “Введите пароль” пароль скрыт точками, при нажатии на иконку “закрытого глаза”, пароль видимый",""
"passed","Sat Jun 24 20:52:25 GMT 2023","Sat Jun 24 20:52:25 GMT 2023","788","","Страница авторизации пользователя","","","","Test 4:Авторизация на сайте не заполняя поля формы",""
